CustomerID,Name,Email,Phone,City,Country,CustomerType,SalesmanID,JoiningDateTime,ContactDept,CompanyName,Source,SalesmanName
1130,Michael Ali,michael.ali812@hotmail.com,9.72E+11,Ajman,UAE,Residential,N/A,01/03/2023 0:00,N/A,N/A,Web/App,N/A
1180,Emma Lee,emma.lee597@outlook.com,9.72E+11,Fujairah,UAE,Residential,N/A,07/04/2023 0:00,N/A,N/A,Web/App,N/A
1380,Priya Sharma,priya.sharma510@gmail.com,9.72E+11,Ras Al Khaimah,UAE,Residential,N/A,15/07/2023 0:00,N/A,N/A,Web/App,N/A
1543,John Carter,john.carter879@outlook.com,9.72E+11,Abu Dhabi,UAE,Residential,N/A,10/12/2024 0:00,N/A,N/A,Website/Desktop,N/A
1634,Ahmed Gomez,ahmed.gomez662@yahoo.com,9.72E+11,Sharjah,UAE,Residential,N/A,01/10/2023 0:00,N/A,N/A,Website/Desktop,N/A
1883,Maria Khan,maria.khan659@hotmail.com,9.72E+11,Fujairah,UAE,Residential,N/A,12/06/2025 0:00,N/A,N/A,Website/Desktop,N/A
1941,David Gomez,david.gomez447@hotmail.com,9.72E+11,Sharjah,UAE,Residential,N/A,07/08/2023 0:00,N/A,N/A,Website/Desktop,N/A
1970,Leo Smith,leo.smith901@hotmail.com,9.72E+11,Umm Al Quwain,UAE,Residential,N/A,08/04/2024 0:00,N/A,N/A,Website/Desktop,N/A
2142,Aisha Hassan,aisha.hassan631@hotmail.com,9.72E+11,Dubai,UAE,Residential,N/A,22/10/2024 0:00,N/A,N/A,Facebook,N/A
CUST0201,Aisha Yacoub,aisha.yacoub99@yahoo.com,9.72E+11,Ras Al Khaimah,UAE,Residential,S010,22/06/2025 0:00,N/A,N/A,SalesTeam,Sara
1020,Leo Carter,leo.carter321@gmail.com,9.72E+11,Ajman,UAE,Residential,N/A,24/11/2024 0:00,N/A,N/A,Web/App,N/A
1114,Sam Patel,sam.patel372@hotmail.com,9.72E+11,Sharjah,UAE,Residential,N/A,25/09/2024 0:00,N/A,N/A,Web/App,N/A
1302,Leo Sharma,leo.sharma127@gmail.com,9.72E+11,Ajman,UAE,Residential,N/A,22/12/2025 0:00,N/A,N/A,Web/App,N/A
1464,Aisha Khan,aisha.khan564@outlook.com,9.72E+11,Umm Al Quwain,UAE,Residential,N/A,03/03/2025 0:00,N/A,N/A,Web/App,N/A
1592,Emma Patel,emma.patel228@hotmail.com,9.72E+11,Sharjah,UAE,Residential,N/A,16/01/2025 0:00,N/A,N/A,Website/Desktop,N/A
1598,Michael Carter,michael.carter890@gmail.com,9.72E+11,Ras Al Khaimah,UAE,Residential,N/A,07/10/2025 0:00,N/A,N/A,Website/Desktop,N/A
1801,Sam Khan,sam.khan216@hotmail.com,9.72E+11,Dubai,UAE,Residential,N/A,16/03/2023 0:00,N/A,N/A,Website/Desktop,N/A
